Holiday Date,Holiday Name
2017-01-01 00:00:00.000,New Year's Day
2018-01-01 00:00:00.000,New Year's Day
2019-01-01 00:00:00.000,New Year's Day
2020-01-01 00:00:00.000,New Year's Day
2021-01-01 00:00:00.000,New Year's Day
2017-07-04 00:00:00.000,Independence Day
2018-07-04 00:00:00.000,Independence Day
2019-07-04 00:00:00.000,Independence Day
2020-07-04 00:00:00.000,Independence Day
2021-07-04 00:00:00.000,Independence Day
2017-11-11 00:00:00.000,Veterans Day
2018-11-11 00:00:00.000,Veterans Day
2019-11-11 00:00:00.000,Veterans Day
2020-11-11 00:00:00.000,Veterans Day
2021-11-11 00:00:00.000,Veterans Day
2017-12-25 00:00:00.000,Christmas Day
2018-12-25 00:00:00.000,Christmas Day
2019-12-25 00:00:00.000,Christmas Day
2020-12-25 00:00:00.000,Christmas Day
2021-12-25 00:00:00.000,Christmas Day
2017-01-16 00:00:00.000,"Martin Luther King, Jr."
2018-01-15 00:00:00.000,"Martin Luther King, Jr."
2019-01-21 00:00:00.000,"Martin Luther King, Jr."
2020-01-20 00:00:00.000,"Martin Luther King, Jr."
2021-01-18 00:00:00.000,"Martin Luther King, Jr."
2017-02-20 00:00:00.000,Presidents' Day
2018-02-19 00:00:00.000,Presidents' Day
2019-02-18 00:00:00.000,Presidents' Day
2020-02-17 00:00:00.000,Presidents' Day
2021-02-15 00:00:00.000,Presidents' Day
2017-05-29 00:00:00.000,Memorial Day
2018-05-28 00:00:00.000,Memorial Day
2019-05-27 00:00:00.000,Memorial Day
2020-05-25 00:00:00.000,Memorial Day
2021-05-31 00:00:00.000,Memorial Day
2017-09-04 00:00:00.000,Labor Day
2018-09-03 00:00:00.000,Labor Day
2019-09-02 00:00:00.000,Labor Day
2020-09-07 00:00:00.000,Labor Day
2021-09-06 00:00:00.000,Labor Day
2017-10-09 00:00:00.000,Columbus Day
2018-10-08 00:00:00.000,Columbus Day
2019-10-14 00:00:00.000,Columbus Day
2020-10-12 00:00:00.000,Columbus Day
2021-10-11 00:00:00.000,Columbus Day
2017-11-23 00:00:00.000,Thanksgiving Day
2018-11-22 00:00:00.000,Thanksgiving Day
2019-11-28 00:00:00.000,Thanksgiving Day
2020-11-26 00:00:00.000,Thanksgiving Day
2021-11-25 00:00:00.000,Thanksgiving Day
2017-11-24 00:00:00.000,Black Friday
2018-11-23 00:00:00.000,Black Friday
2019-11-29 00:00:00.000,Black Friday
2020-11-27 00:00:00.000,Black Friday
2021-11-26 00:00:00.000,Black Friday
2021-06-19 00:00:00.000,Juneteenth
2021-06-18 00:00:00.000,(in lieu of Juneteenth)
